Player,Year,FantasyPoints,rushing_att,1st_down_rush,longest_rushing_att,rushing_yds/att,pass_target,receptions,1d_rec,rec_yds/tgt
Curtis Martin,1998,260.2,369,70,60,3.5,57,43,17,6.4
Barry Sanders,1998,235,343,65,73,4.3,57,37,10,5.1
Emmitt Smith,1998,263.7,319,90,32,4.2,32,27,8,5.5
Ricky Watters,1998,267.2,319,76,39,3.9,73,52,15,5.1
Jamal Anderson,1997,216.7,290,54,39,3.5,37,29,14,7.7
Jerome Bettis,1997,236.5,375,94,34,4.4,24,15,5,4.6
Terrell Davis,1997,335.7,369,99,50,4.7,58,42,11,4.9
Marshall Faulk,1997,241.5,264,64,45,4,73,47,15,6.5
Eddie George,1997,187.3,357,65,30,3.9,12,7,3,3.7
Greg Hill,1997,79.6,157,23,38,3.5,24,12,4,5.3
Napoleon Kaufman,1997,249.7,272,55,83,4.8,50,40,13,8.1
Dorsey Levens,1997,301.5,329,71,52,4.4,67,53,18,5.5
Adrian Murrell,1997,194.2,300,61,43,3.6,41,27,4,2.6
Barry Sanders,1997,348.8,335,86,82,6.1,50,33,12,6.1
Emmitt Smith,1997,192.8,261,52,44,4.1,48,40,6,4.9
Thurman Thomas,1997,117.1,154,33,24,4.2,43,30,8,4.8
Ricky Watters,1997,241,285,53,28,3.9,73,48,20,6
Marcus Allen,1996,191,206,56,35,4,35,27,13,7.7
Terry Allen,1996,308.7,347,75,49,3.9,42,32,7,4.6
Edgar Bennett,1996,154.5,222,53,23,4,39,31,7,4.5
Terrell Davis,1996,304.8,345,91,71,4.5,52,36,16,6
Eddie George,1996,220,335,68,76,4.1,28,23,12,6.5
Rodney Hampton,1996,107.9,254,46,25,3.3,22,15,4,3.7
Curtis Martin,1996,290.5,316,79,57,3.6,52,46,15,6.4
Adrian Murrell,1996,184,301,66,78,4.1,36,17,3,2.3
Leonard Russell,1996,140.3,219,45,21,3.3,18,13,7,10
Barry Sanders,1996,254,307,81,54,5.1,32,24,6,4.6
Emmitt Smith,1996,278.3,327,76,42,3.7,57,47,11,4.4
Thurman Thomas,1996,200.7,281,69,36,3.7,42,26,9,6
Ricky Watters,1996,304.5,353,72,56,4,70,51,19,6.3
Marcus Allen,1995,165,207,52,38,4.3,42,27,11,5
Terry Allen,1995,245.1,338,68,28,3.9,40,31,11,5.8
Mario Bates,1995,166.5,244,50,66,3.9,21,18,1,5.4
Marshall Faulk,1995,287.3,289,69,40,3.7,74,56,18,6.4
Harold Green,1995,127.3,171,35,23,3.9,41,27,10,4.4
Rodney Hampton,1995,208.4,306,74,32,3.9,28,24,9,5.1
Garrison Hearst,1995,156.9,284,56,38,3.8,47,29,12,5.2
Craig Heyward,1995,228.3,236,65,31,4.6,46,37,21,7.6
Derek Loville,1995,301.5,218,48,27,3.3,110,87,38,6
Curtis Martin,1995,288.8,368,79,49,4,50,30,9,5.2
Errict Rhett,1995,209.7,332,78,21,3.6,29,14,6,3.8
Barry Sanders,1995,304.2,314,72,75,4.8,70,48,17,5.7
Emmitt Smith,1995,414.8,377,107,60,4.7,78,62,14,4.8
Chris Warren,1995,294.3,310,78,52,4.3,50,35,14,4.9
Ricky Watters,1995,298.7,337,76,57,3.8,93,62,19,4.7
Harvey Williams,1995,255.4,255,60,60,4.4,60,54,15,6.3
